f,seed_mean,seed_std,full_agptr_acc_mean,full_agptr_acc_std,full_agptr_accept_rate_mean,full_agptr_accept_rate_std,anchored_mean_only_acc_mean,anchored_mean_only_acc_std,gate_global_clip_acc_mean,gate_global_clip_acc_std,gate_global_clip_accept_rate_mean,gate_global_clip_accept_rate_std
0.0,1.0,1.0,0.7820333333333332,0.0035472994422987565,0.7222222222222222,0.03469443332443556,0.8217666666666666,0.0056145643939074195,0.7839999999999999,0.002137755832643195,0.7351851851851853,0.035717225040714645
0.1,1.0,1.0,0.7663666666666668,0.007003808487768166,0.7592592592592592,0.02245251046848537,0.7916333333333334,0.011651752371782268,0.7721666666666667,0.0008621678104251853,0.7111111111111111,0.05773502691896255
0.2,1.0,1.0,0.7581666666666665,0.004416257842714045,0.5888888888888889,0.052996622300941425,0.6890333333333333,0.045465408095972645,0.7556333333333334,0.00020816659994666589,0.5777777777777778,0.02777777777777772
0.3,1.0,1.0,0.7186666666666666,0.056497463069887795,0.4018518518518519,0.10976030750175884,0.5037,0.03357201215298244,0.7465999999999999,0.013352527850560746,0.3,0.10137937550497031
0.4,1.0,1.0,0.7056999999999999,0.045321187098309776,0.25,0.03379312516832342,0.28709999999999997,0.01280468664200729,0.7113333333333333,0.048327459413187994,0.1574074074074074,0.06720461967268168
0.49,1.0,1.0,0.5993666666666667,0.015530722241200898,0.029629629629629627,0.003207501495497921,0.32506666666666667,0.046796402995671935,0.5978666666666667,0.015063310835713786,0.029629629629629627,0.003207501495497921
0.6,1.0,1.0,0.12063333333333333,0.03881833759105784,0.005555555555555556,0.0,0.23773333333333335,0.12093082044430747,0.11973333333333334,0.039981287289597545,0.005555555555555556,0.0
