attack,method,f,acc,accept_rate
FoE,AG-PTR (P=I),0.0,0.2924,0.28888888888888886
FoE,AG-PTR (P=I),0.1,0.3438,0.19444444444444445
FoE,AG-PTR (P=I),0.2,0.0864,0.3111111111111111
FoE,AG-PTR (P=I),0.3,0.1525,0.20555555555555555
FoE,AG-PTR (P=I),0.4,0.318,0.08888888888888889
FoE,AG-PTR (P=I),0.49,0.3364,0.06666666666666667
FoE,AG-PTR (P=I),0.6,0.0427,0.0
FoE,AG-PTR (FedAdam-diag P),0.0,0.757,0.35
FoE,AG-PTR (FedAdam-diag P),0.1,0.7566,0.4111111111111111
FoE,AG-PTR (FedAdam-diag P),0.2,0.7537,0.3888888888888889
FoE,AG-PTR (FedAdam-diag P),0.3,0.7491,0.16111111111111112
FoE,AG-PTR (FedAdam-diag P),0.4,0.7208,0.09444444444444444
FoE,AG-PTR (FedAdam-diag P),0.49,0.6432,0.044444444444444446
FoE,AG-PTR (FedAdam-diag P),0.6,0.0427,0.0
LF,DP-FedAvg (FedAdam),0.0,0.0984,
LF,DP-FedAvg (FedAdam),0.1,0.0993,
LF,DP-FedAvg (FedAdam),0.2,0.1012,
LF,DP-FedAvg (FedAdam),0.3,0.0995,
LF,DP-FedAvg (FedAdam),0.4,0.0983,
LF,DP-FedAvg (FedAdam),0.49,0.0975,
LF,DP-FedAvg (FedAdam),0.6,0.0969,
LF,FedVRDP-style (FedAdam),0.0,0.5172,
LF,FedVRDP-style (FedAdam),0.1,0.4437,
LF,FedVRDP-style (FedAdam),0.2,0.3888,
LF,FedVRDP-style (FedAdam),0.3,0.1058,
LF,FedVRDP-style (FedAdam),0.4,0.1673,
LF,FedVRDP-style (FedAdam),0.49,0.1182,
LF,FedVRDP-style (FedAdam),0.6,0.1004,
LF,Median (FedAdam),0.0,0.7789,
LF,Median (FedAdam),0.1,0.7687,
LF,Median (FedAdam),0.2,0.7511,
LF,Median (FedAdam),0.3,0.7533,
LF,Median (FedAdam),0.4,0.6837,
LF,Median (FedAdam),0.49,0.4071,
LF,Median (FedAdam),0.6,0.0869,
LF,TrimmedMean (FedAdam),0.0,0.8256,
LF,TrimmedMean (FedAdam),0.1,0.1,
LF,TrimmedMean (FedAdam),0.2,0.6663,
LF,TrimmedMean (FedAdam),0.3,0.7109,
LF,TrimmedMean (FedAdam),0.4,0.2692,
LF,TrimmedMean (FedAdam),0.49,0.4298,
LF,TrimmedMean (FedAdam),0.6,0.0923,
LF,Krum (FedAdam),0.0,0.1,
LF,Krum (FedAdam),0.1,0.1002,
LF,Krum (FedAdam),0.2,0.0992,
LF,Krum (FedAdam),0.3,0.1,
LF,Krum (FedAdam),0.4,0.1883,
LF,Krum (FedAdam),0.49,0.1,
LF,Krum (FedAdam),0.6,0.1,
LF,SparseFed-style (FedAdam),0.0,0.8708,
LF,SparseFed-style (FedAdam),0.1,0.7899,
LF,SparseFed-style (FedAdam),0.2,0.8363,
LF,SparseFed-style (FedAdam),0.3,0.8543,
LF,SparseFed-style (FedAdam),0.4,0.6676,
