attack,method,f,acc,accept_rate
LF,Krum,0.3,0.3031,
LF,Krum,0.4,0.2587,
LF,Krum,0.49,0.1946,
LF,Krum,0.6,0.084,
LF,SparseFed-style,0.0,0.4611,
LF,SparseFed-style,0.1,0.4496,
LF,SparseFed-style,0.2,0.4246,
LF,SparseFed-style,0.3,0.3965,
LF,SparseFed-style,0.4,0.3478,
LF,SparseFed-style,0.49,0.2565,
LF,SparseFed-style,0.6,0.1568,
LF,AG-PTR,0.0,0.3884,0.8111111111111111
LF,AG-PTR,0.1,0.3906,0.85
LF,AG-PTR,0.2,0.3818,0.8833333333333333
LF,AG-PTR,0.3,0.3502,0.8555555555555555
LF,AG-PTR,0.4,0.3348,0.8333333333333334
LF,AG-PTR,0.49,0.2983,0.9166666666666666
LF,AG-PTR,0.6,0.2415,0.75
MinMax,DP-FedAvg,0.0,0.2877,
MinMax,DP-FedAvg,0.1,0.2289,
MinMax,DP-FedAvg,0.2,0.1722,
MinMax,DP-FedAvg,0.3,0.1462,
MinMax,DP-FedAvg,0.4,0.0944,
MinMax,DP-FedAvg,0.49,0.1164,
MinMax,DP-FedAvg,0.6,0.0916,
MinMax,FedVRDP-style,0.0,0.3344,
MinMax,FedVRDP-style,0.1,0.1924,
MinMax,FedVRDP-style,0.2,0.1272,
MinMax,FedVRDP-style,0.3,0.142,
MinMax,FedVRDP-style,0.4,0.1421,
MinMax,FedVRDP-style,0.49,0.1557,
MinMax,FedVRDP-style,0.6,0.1605,
MinMax,Median,0.0,0.441,
MinMax,Median,0.1,0.3257,
MinMax,Median,0.2,0.1951,
MinMax,Median,0.3,0.1132,
MinMax,Median,0.4,0.1287,
MinMax,Median,0.49,0.1058,
MinMax,Median,0.6,0.0999,
MinMax,TrimmedMean,0.0,0.4753,
MinMax,TrimmedMean,0.1,0.3059,
MinMax,TrimmedMean,0.2,0.2264,
MinMax,TrimmedMean,0.3,0.1018,
MinMax,TrimmedMean,0.4,0.1137,
MinMax,TrimmedMean,0.49,0.1062,
MinMax,TrimmedMean,0.6,0.0999,
MinMax,Krum,0.0,0.3501,
MinMax,Krum,0.1,0.3342,
MinMax,Krum,0.2,0.3328,
MinMax,Krum,0.3,0.1494,
MinMax,Krum,0.4,0.1006,
MinMax,Krum,0.49,0.1,
MinMax,Krum,0.6,0.0999,
MinMax,SparseFed-style,0.0,0.4611,
MinMax,SparseFed-style,0.1,0.3088,
MinMax,SparseFed-style,0.2,0.2373,
MinMax,SparseFed-style,0.3,0.2026,
MinMax,SparseFed-style,0.4,0.1138,
MinMax,SparseFed-style,0.49,0.108,
MinMax,SparseFed-style,0.6,0.1126,
MinMax,AG-PTR,0.0,0.3884,0.8111111111111111
MinMax,AG-PTR,0.1,0.3994,0.8166666666666667
MinMax,AG-PTR,0.2,0.3736,0.8777777777777778
MinMax,AG-PTR,0.3,0.3717,0.6777777777777778
MinMax,AG-PTR,0.4,0.3058,0.3
MinMax,AG-PTR,0.49,0.1066,0.0
MinMax,AG-PTR,0.6,0.1066,0.0
MinSum,DP-FedAvg,0.0,0.2877,
MinSum,DP-FedAvg,0.1,0.2268,
MinSum,DP-FedAvg,0.2,0.1674,
MinSum,DP-FedAvg,0.3,0.1613,
MinSum,DP-FedAvg,0.4,0.1246,
MinSum,DP-FedAvg,0.49,0.103,
MinSum,DP-FedAvg,0.6,0.1045,
MinSum,FedVRDP-style,0.0,0.3344,
MinSum,FedVRDP-style,0.1,0.1971,
MinSum,FedVRDP-style,0.2,0.1326,
MinSum,FedVRDP-style,0.3,0.1489,
MinSum,FedVRDP-style,0.4,0.1611,
MinSum,FedVRDP-style,0.49,0.1655,
MinSum,FedVRDP-style,0.6,0.1549,
MinSum,Median,0.0,0.441,
MinSum,Median,0.1,0.3257,
MinSum,Median,0.2,0.1951,
MinSum,Median,0.3,0.1125,
MinSum,Median,0.4,0.13,
MinSum,Median,0.49,0.1268,
MinSum,Median,0.6,0.1,
MinSum,TrimmedMean,0.0,0.4753,
MinSum,TrimmedMean,0.1,0.3103,
MinSum,TrimmedMean,0.2,0.1958,
MinSum,TrimmedMean,0.3,0.1004,
MinSum,TrimmedMean,0.4,0.1099,
MinSum,TrimmedMean,0.49,0.1002,
MinSum,TrimmedMean,0.6,0.1,
MinSum,Krum,0.0,0.3501,
MinSum,Krum,0.1,0.3264,
MinSum,Krum,0.2,0.3251,
MinSum,Krum,0.3,0.1043,
MinSum,Krum,0.4,0.1,
MinSum,Krum,0.49,0.1,
MinSum,Krum,0.6,0.1,
MinSum,SparseFed-style,0.0,0.4611,
MinSum,SparseFed-style,0.1,0.3163,
MinSum,SparseFed-style,0.2,0.2426,
MinSum,SparseFed-style,0.3,0.1211,
MinSum,SparseFed-style,0.4,0.1253,
MinSum,SparseFed-style,0.49,0.1015,
MinSum,SparseFed-style,0.6,0.105,
MinSum,AG-PTR,0.0,0.3884,0.8111111111111111
MinSum,AG-PTR,0.1,0.3942,0.8222222222222222
MinSum,AG-PTR,0.2,0.386,0.8555555555555555
MinSum,AG-PTR,0.3,0.3623,0.65
MinSum,AG-PTR,0.4,0.3058,0.3
MinSum,AG-PTR,0.49,0.1066,0.0
MinSum,AG-PTR,0.6,0.1066,0.0
SF,DP-FedAvg,0.0,0.2877,
SF,DP-FedAvg,0.1,0.2067,
SF,DP-FedAvg,0.2,0.1794,
SF,DP-FedAvg,0.3,0.1571,
SF,DP-FedAvg,0.4,0.1022,
SF,DP-FedAvg,0.49,0.1,
SF,DP-FedAvg,0.6,0.1,
SF,FedVRDP-style,0.0,0.3344,
SF,FedVRDP-style,0.1,0.1254,
SF,FedVRDP-style,0.2,0.1257,
SF,FedVRDP-style,0.3,0.1361,
SF,FedVRDP-style,0.4,0.0748,
SF,FedVRDP-style,0.49,0.0667,
SF,FedVRDP-style,0.6,0.1,
SF,Median,0.0,0.441,
SF,Median,0.1,0.3257,
SF,Median,0.2,0.1951,
SF,Median,0.3,0.1125,
SF,Median,0.4,0.1352,
SF,Median,0.49,0.1337,
SF,Median,0.6,0.1,
SF,TrimmedMean,0.0,0.4753,
SF,TrimmedMean,0.1,0.2625,
SF,TrimmedMean,0.2,0.1438,
SF,TrimmedMean,0.3,0.0999,
SF,TrimmedMean,0.4,0.1112,
SF,TrimmedMean,0.49,0.1201,
SF,TrimmedMean,0.6,0.1,
SF,Krum,0.0,0.3501,
SF,Krum,0.1,0.3497,
SF,Krum,0.2,0.3556,
SF,Krum,0.3,0.3402,
SF,Krum,0.4,0.3359,
SF,Krum,0.49,0.1,
SF,Krum,0.6,0.1,
SF,SparseFed-style,0.0,0.4611,
SF,SparseFed-style,0.1,0.1966,
SF,SparseFed-style,0.2,0.195,
SF,SparseFed-style,0.3,0.1546,
SF,SparseFed-style,0.4,0.1083,
SF,SparseFed-style,0.49,0.1042,
SF,SparseFed-style,0.6,0.1,
SF,AG-PTR,0.0,0.3884,0.8111111111111111
SF,AG-PTR,0.1,0.3748,0.7611111111111111
SF,AG-PTR,0.2,0.3854,0.8666666666666667
SF,AG-PTR,0.3,0.3568,0.6166666666666667
SF,AG-PTR,0.4,0.3058,0.3
SF,AG-PTR,0.49,0.1066,0.0
SF,AG-PTR,0.6,0.1066,0.0
