attack,method,f,acc,accept_rate
LF,AG-PTR,0.6,0.0427,0.0
MinMax,DP-FedAvg,0.0,0.7238,
MinMax,DP-FedAvg,0.1,0.6685,
MinMax,DP-FedAvg,0.2,0.5952,
MinMax,DP-FedAvg,0.3,0.376,
MinMax,DP-FedAvg,0.4,0.3298,
MinMax,DP-FedAvg,0.49,0.2553,
MinMax,DP-FedAvg,0.6,0.1037,
MinMax,FedVRDP-style,0.0,0.7628,
MinMax,FedVRDP-style,0.1,0.7047,
MinMax,FedVRDP-style,0.2,0.655,
MinMax,FedVRDP-style,0.3,0.474,
MinMax,FedVRDP-style,0.4,0.3398,
MinMax,FedVRDP-style,0.49,0.2628,
MinMax,FedVRDP-style,0.6,0.3318,
MinMax,Median,0.0,0.7697,
MinMax,Median,0.1,0.7239,
MinMax,Median,0.2,0.6395,
MinMax,Median,0.3,0.4016,
MinMax,Median,0.4,0.2393,
MinMax,Median,0.49,0.129,
MinMax,Median,0.6,0.0607,
MinMax,TrimmedMean,0.0,0.8048,
MinMax,TrimmedMean,0.1,0.7149,
MinMax,TrimmedMean,0.2,0.6573,
MinMax,TrimmedMean,0.3,0.5373,
MinMax,TrimmedMean,0.4,0.1875,
MinMax,TrimmedMean,0.49,0.1365,
MinMax,TrimmedMean,0.6,0.0607,
MinMax,Krum,0.0,0.7265,
MinMax,Krum,0.1,0.7158,
MinMax,Krum,0.2,0.7147,
MinMax,Krum,0.3,0.7093,
MinMax,Krum,0.4,0.2057,
MinMax,Krum,0.49,0.0934,
MinMax,Krum,0.6,0.0607,
MinMax,SparseFed-style,0.0,0.8003,
MinMax,SparseFed-style,0.1,0.733,
MinMax,SparseFed-style,0.2,0.6816,
MinMax,SparseFed-style,0.3,0.6433,
MinMax,SparseFed-style,0.4,0.5839,
MinMax,SparseFed-style,0.49,0.4331,
MinMax,SparseFed-style,0.6,0.1849,
MinMax,AG-PTR,0.0,0.761,0.9777777777777777
MinMax,AG-PTR,0.1,0.7491,0.9611111111111111
MinMax,AG-PTR,0.2,0.7566,0.9
MinMax,AG-PTR,0.3,0.7529,0.45555555555555555
MinMax,AG-PTR,0.4,0.7359,0.25555555555555554
MinMax,AG-PTR,0.49,0.6518,0.12777777777777777
MinMax,AG-PTR,0.6,0.0427,0.0
MinSum,DP-FedAvg,0.0,0.7238,
MinSum,DP-FedAvg,0.1,0.6878,
MinSum,DP-FedAvg,0.2,0.5607,
MinSum,DP-FedAvg,0.3,0.4645,
MinSum,DP-FedAvg,0.4,0.328,
MinSum,DP-FedAvg,0.49,0.304,
MinSum,DP-FedAvg,0.6,0.0953,
MinSum,FedVRDP-style,0.0,0.7628,
MinSum,FedVRDP-style,0.1,0.7055,
MinSum,FedVRDP-style,0.2,0.6683,
MinSum,FedVRDP-style,0.3,0.444,
MinSum,FedVRDP-style,0.4,0.4041,
MinSum,FedVRDP-style,0.49,0.3512,
MinSum,FedVRDP-style,0.6,0.3259,
MinSum,Median,0.0,0.7697,
MinSum,Median,0.1,0.7239,
MinSum,Median,0.2,0.6395,
MinSum,Median,0.3,0.4016,
MinSum,Median,0.4,0.2417,
MinSum,Median,0.49,0.1834,
MinSum,Median,0.6,0.1212,
MinSum,TrimmedMean,0.0,0.8048,
MinSum,TrimmedMean,0.1,0.7179,
MinSum,TrimmedMean,0.2,0.6608,
MinSum,TrimmedMean,0.3,0.4881,
MinSum,TrimmedMean,0.4,0.1847,
MinSum,TrimmedMean,0.49,0.1181,
MinSum,TrimmedMean,0.6,0.1212,
MinSum,Krum,0.0,0.7265,
MinSum,Krum,0.1,0.7123,
MinSum,Krum,0.2,0.7171,
MinSum,Krum,0.3,0.6848,
MinSum,Krum,0.4,0.16,
MinSum,Krum,0.49,0.1,
MinSum,Krum,0.6,0.1212,
MinSum,SparseFed-style,0.0,0.8003,
MinSum,SparseFed-style,0.1,0.7432,
MinSum,SparseFed-style,0.2,0.6675,
MinSum,SparseFed-style,0.3,0.6459,
MinSum,SparseFed-style,0.4,0.5072,
MinSum,SparseFed-style,0.49,0.3669,
MinSum,SparseFed-style,0.6,0.1439,
MinSum,AG-PTR,0.0,0.761,0.9777777777777777
MinSum,AG-PTR,0.1,0.7591,0.9555555555555556
MinSum,AG-PTR,0.2,0.7566,0.9
MinSum,AG-PTR,0.3,0.7412,0.55
MinSum,AG-PTR,0.4,0.7204,0.35555555555555557
MinSum,AG-PTR,0.49,0.6518,0.12777777777777777
MinSum,AG-PTR,0.6,0.0427,0.0
SF,DP-FedAvg,0.0,0.7238,
SF,DP-FedAvg,0.1,0.5799,
SF,DP-FedAvg,0.2,0.5161,
SF,DP-FedAvg,0.3,0.3064,
SF,DP-FedAvg,0.4,0.2387,
SF,DP-FedAvg,0.49,0.1,
SF,DP-FedAvg,0.6,0.1,
SF,FedVRDP-style,0.0,0.7628,
SF,FedVRDP-style,0.1,0.4032,
