seed,eps_total,dp_fedavg_acc,agptr_acc,agptr_accept_rate
0,1.0,0.7648,0.7344,0.6888888888888889
1,1.0,0.7773,0.7491,0.7444444444444445
2,1.0,0.7661,0.7253,0.8
0,2.0,0.7982,0.7771,0.6888888888888889
1,2.0,0.8091,0.7793,0.7611111111111111
2,2.0,0.7994,0.773,0.7277777777777777
0,4.0,0.8251,0.8031,0.6777777777777778
1,4.0,0.8305,0.8117,0.7333333333333333
2,4.0,0.8226,0.7983,0.7777777777777778
