Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-IID,FoE,AG-PTR,0,0.761,0.9777777777777777
Fashion-MNIST-IID,FoE,AG-PTR,0.1,0.7663,0.9722222222222222
Fashion-MNIST-IID,FoE,AG-PTR,0.2,0.7566,0.9
Fashion-MNIST-IID,FoE,AG-PTR,0.3,0.7645,0.7
Fashion-MNIST-IID,FoE,AG-PTR,0.4,0.7463,0.38333333333333336
Fashion-MNIST-IID,FoE,AG-PTR,0.49,0.6518,0.12777777777777777
Fashion-MNIST-IID,FoE,AG-PTR,0.6,0.0427,0
Fashion-MNIST-IID,LF,DP-FedAvg,0,0.7238,
Fashion-MNIST-IID,LF,DP-FedAvg,0.1,0.6852,
Fashion-MNIST-IID,LF,DP-FedAvg,0.2,0.6456,
Fashion-MNIST-IID,LF,DP-FedAvg,0.3,0.5733,
Fashion-MNIST-IID,LF,DP-FedAvg,0.4,0.4891,
Fashion-MNIST-IID,LF,DP-FedAvg,0.49,0.4049,
Fashion-MNIST-IID,LF,DP-FedAvg,0.6,0.272,
Fashion-MNIST-IID,LF,FedVRDP-style,0,0.7628,
Fashion-MNIST-IID,LF,FedVRDP-style,0.1,0.7417,
Fashion-MNIST-IID,LF,FedVRDP-style,0.2,0.7219,
Fashion-MNIST-IID,LF,FedVRDP-style,0.3,0.681,
Fashion-MNIST-IID,LF,FedVRDP-style,0.4,0.5878,
Fashion-MNIST-IID,LF,FedVRDP-style,0.49,0.4394,
Fashion-MNIST-IID,LF,FedVRDP-style,0.6,0.1854,
Fashion-MNIST-IID,LF,Median,0,0.7697,
Fashion-MNIST-IID,LF,Median,0.1,0.7491,
Fashion-MNIST-IID,LF,Median,0.2,0.7554,
Fashion-MNIST-IID,LF,Median,0.3,0.7533,
Fashion-MNIST-IID,LF,Median,0.4,0.7129,
Fashion-MNIST-IID,LF,Median,0.49,0.4668,
Fashion-MNIST-IID,LF,Median,0.6,0.0864,
Fashion-MNIST-IID,LF,TrimmedMean,0,0.8048,
Fashion-MNIST-IID,LF,TrimmedMean,0.1,0.7937,
Fashion-MNIST-IID,LF,TrimmedMean,0.2,0.7733,
Fashion-MNIST-IID,LF,TrimmedMean,0.3,0.7575,
Fashion-MNIST-IID,LF,TrimmedMean,0.4,0.7132,
Fashion-MNIST-IID,LF,TrimmedMean,0.49,0.473,
Fashion-MNIST-IID,LF,TrimmedMean,0.6,0.0883,
Fashion-MNIST-IID,LF,Krum,0,0.7265,
Fashion-MNIST-IID,LF,Krum,0.1,0.7114,
Fashion-MNIST-IID,LF,Krum,0.2,0.7164,
Fashion-MNIST-IID,LF,Krum,0.3,0.7158,
Fashion-MNIST-IID,LF,Krum,0.4,0.7254,
Fashion-MNIST-IID,LF,Krum,0.49,0.0107,
Fashion-MNIST-IID,LF,Krum,0.6,0.0116,
Fashion-MNIST-IID,LF,SparseFed-style,0,0.8003,
Fashion-MNIST-IID,LF,SparseFed-style,0.1,0.7931,
Fashion-MNIST-IID,LF,SparseFed-style,0.2,0.786,
Fashion-MNIST-IID,LF,SparseFed-style,0.3,0.7707,
Fashion-MNIST-IID,LF,SparseFed-style,0.4,0.6945,
Fashion-MNIST-IID,LF,SparseFed-style,0.49,0.4702,
Fashion-MNIST-IID,LF,SparseFed-style,0.6,0.1048,
Fashion-MNIST-IID,LF,AG-PTR,0,0.761,0.9777777777777777
Fashion-MNIST-IID,LF,AG-PTR,0.1,0.7592,0.8833333333333333
Fashion-MNIST-IID,LF,AG-PTR,0.2,0.778,0.9055555555555556
Fashion-MNIST-IID,LF,AG-PTR,0.3,0.7613,0.8166666666666667
Fashion-MNIST-IID,LF,AG-PTR,0.4,0.7521,0.5666666666666667
Fashion-MNIST-IID,LF,AG-PTR,0.49,0.7094,0.3111111111111111
Fashion-MNIST-IID,LF,AG-PTR,0.6,0.0427,0
Fashion-MNIST-IID,MinMax,DP-FedAvg,0,0.7238,
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.1,0.6685,
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.2,0.5952,
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.3,0.376,
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.4,0.3298,
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.49,0.2553,
Fashion-MNIST-IID,MinMax,DP-FedAvg,0.6,0.1037,
Fashion-MNIST-IID,MinMax,FedVRDP-style,0,0.7628,
Fashion-MNIST-IID,MinMax,FedVRDP-style,0.1,0.7047,
Fashion-MNIST-IID,MinMax,FedVRDP-style,0.2,0.655,
Fashion-MNIST-IID,MinMax,FedVRDP-style,0.3,0.474,
Fashion-MNIST-IID,MinMax,FedVRDP-style,0.4,0.3398,
Fashion-MNIST-IID,MinMax,FedVRDP-style,0.49,0.2628,
Fashion-MNIST-IID,MinMax,FedVRDP-style,0.6,0.3318,
Fashion-MNIST-IID,MinMax,Median,0,0.7697,
Fashion-MNIST-IID,MinMax,Median,0.1,0.7239,
Fashion-MNIST-IID,MinMax,Median,0.2,0.6395,
Fashion-MNIST-IID,MinMax,Median,0.3,0.4016,
Fashion-MNIST-IID,MinMax,Median,0.4,0.2393,
Fashion-MNIST-IID,MinMax,Median,0.49,0.129,
Fashion-MNIST-IID,MinMax,Median,0.6,0.0607,
Fashion-MNIST-IID,MinMax,TrimmedMean,0,0.8048,
Fashion-MNIST-IID,MinMax,TrimmedMean,0.1,0.7149,
Fashion-MNIST-IID,MinMax,TrimmedMean,0.2,0.6573,
Fashion-MNIST-IID,MinMax,TrimmedMean,0.3,0.5373,
Fashion-MNIST-IID,MinMax,TrimmedMean,0.4,0.1875,
Fashion-MNIST-IID,MinMax,TrimmedMean,0.49,0.1365,
Fashion-MNIST-IID,MinMax,TrimmedMean,0.6,0.0607,
Fashion-MNIST-IID,MinMax,Krum,0,0.7265,
Fashion-MNIST-IID,MinMax,Krum,0.1,0.7158,
Fashion-MNIST-IID,MinMax,Krum,0.2,0.7147,
Fashion-MNIST-IID,MinMax,Krum,0.3,0.7093,
Fashion-MNIST-IID,MinMax,Krum,0.4,0.2057,
Fashion-MNIST-IID,MinMax,Krum,0.49,0.0934,
Fashion-MNIST-IID,MinMax,Krum,0.6,0.0607,
Fashion-MNIST-IID,MinMax,SparseFed-style,0,0.8003,
Fashion-MNIST-IID,MinMax,SparseFed-style,0.1,0.733,
Fashion-MNIST-IID,MinMax,SparseFed-style,0.2,0.6816,
Fashion-MNIST-IID,MinMax,SparseFed-style,0.3,0.6433,
Fashion-MNIST-IID,MinMax,SparseFed-style,0.4,0.5839,
Fashion-MNIST-IID,MinMax,SparseFed-style,0.49,0.4331,
Fashion-MNIST-IID,MinMax,SparseFed-style,0.6,0.1849,
Fashion-MNIST-IID,MinMax,AG-PTR,0,0.761,0.9777777777777777
Fashion-MNIST-IID,MinMax,AG-PTR,0.1,0.7491,0.9611111111111111
Fashion-MNIST-IID,MinMax,AG-PTR,0.2,0.7566,0.9
Fashion-MNIST-IID,MinMax,AG-PTR,0.3,0.7529,0.45555555555555555
Fashion-MNIST-IID,MinMax,AG-PTR,0.4,0.7359,0.25555555555555554
Fashion-MNIST-IID,MinMax,AG-PTR,0.49,0.6518,0.12777777777777777
Fashion-MNIST-IID,MinMax,AG-PTR,0.6,0.0427,0
Fashion-MNIST-IID,MinSum,DP-FedAvg,0,0.7238,
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.1,0.6878,
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.2,0.5607,
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.3,0.4645,
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.4,0.328,
Fashion-MNIST-IID,MinSum,DP-FedAvg,0.49,0.304,
