f,seed_mean,seed_std,dp_fedavg_acc_mean,dp_fedavg_acc_std,fedvrdp_acc_mean,fedvrdp_acc_std,agptr_acc_mean,agptr_acc_std,agptr_accept_rate_mean,agptr_accept_rate_std
0.0,1.0,1.0,0.8022333333333332,0.0059768999768553726,0.8231666666666667,0.005877357682950184,0.7764666666666667,0.003197394772831962,0.7259259259259259,0.03614670610359838
0.1,1.0,1.0,0.7607333333333334,0.0026727015047201194,0.7933666666666667,0.013716535033795328,0.7650333333333333,0.008936628745412503,0.6870370370370371,0.04625924443258069
0.2,1.0,1.0,0.6501,0.025269744755339347,0.7225,0.016212340978402844,0.7517,0.004158124577258331,0.5611111111111111,0.07286042804779998
0.3,1.0,1.0,0.4481,0.06623420566444502,0.47359999999999997,0.030836990774068717,0.7386666666666667,0.007447370900749707,0.32962962962962966,0.09723544883574131
0.4,1.0,1.0,0.24180000000000001,0.008350449089719676,0.26320000000000005,0.023502553052806845,0.7347666666666667,0.004626373669877208,0.17407407407407408,0.02245251046848545
0.49,1.0,1.0,0.1845,0.00633798075099633,0.10783333333333334,0.007247298347200379,0.6017,0.021862525014279554,0.029629629629629627,0.003207501495497921
0.6,1.0,1.0,0.1303,0.044105215111140766,0.09936666666666667,0.0010969655114602863,0.13113333333333332,0.044312338387105375,0.005555555555555556,0.0
