attack,DP-FedAvg_mean,DP-FedAvg_std,FedVRDP_mean,FedVRDP_std,AG-PTR_mean,AG-PTR_std,Median (non-DP)_mean,Median (non-DP)_std,TrimmedMean (non-DP)_mean,TrimmedMean (non-DP)_std,Krum (non-DP)_mean,Krum (non-DP)_std,Bulyan (non-DP)_mean,Bulyan (non-DP)_std,AG-PTR_accept_rate_mean,AG-PTR_accept_rate_std
LF,0.7129666666666666,0.013422700506563114,0.7928000000000001,0.006491532946846964,0.7535,0.008982575725629412,0.8033999999999999,0.004255192905928787,0.8253333333333334,0.0019737161790782973,0.7231000000000001,0.014603424255975017,0.8100999999999999,0.004526219909225209,0.6462962962962964,0.06515782253984882
ALIE,0.6486999999999999,0.0440481554664892,0.7063333333333333,0.01717388197881373,0.7599666666666667,0.0024444949489731836,0.7363666666666667,0.011880609786071127,0.6079,0.009753290043193943,0.7162333333333333,0.00824675020167879,0.8126000000000001,0.0038884444190446818,0.512962962962963,0.03464497580346244
FANG,0.7592666666666666,0.002517052950487047,0.7842666666666668,0.007704688327390188,0.7671333333333333,0.00200720922897662,0.6952666666666666,0.01955476639821831,0.5737666666666666,0.027688064014822125,0.7280666666666668,0.00960219882226055,0.5986333333333334,0.0786253705167034,0.3666666666666667,0.02078698548207745
