variant,acc_mean,acc_std,accept_mean,accept_std
AG-PTR (FedAdam-diag P),0.7595999999999999,0.007800000000000022,0.4518518518518519,0.048538305266967244
AG-PTR (P=I),0.3459666666666667,0.07981292710666195,0.08333333333333333,0.0
